subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81431228,United States of America,Fresno,California,L. Panoche Cr. Can,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,3 - March - III,13,1957,,,,,,W. E. LaBerge,March / 13 / 1957,,,LACMENT591718_had_lbs.jpg
81431229,United States of America,San Bernardino,California,Camp Baldy,Andrena (Melandrena) cerasifolii; 237; Andrena (Melandrena) cerasifolii Ckll.,L. L. Muchmore,6 - June - VI,10,1916,,,,,,W. E. LaBerge,VI/10 /1916,,,LACMENT591719_had_lbs.jpg
81431231,United States of America,Los Angeles,California,Pine Canyon,Andrena (Melandrena) cerasifolii. U.C.L.A. COLL. Accessioned L.A.C.M. 1965. Andrena (Melandrena) cerasifolii Ckll.,U. C. L. A.,6 - June - VI,13,1953,,,,,,W. E. LaBerge,,,,LACMENT591720_had_lbs.jpg
81431233,United States of America,Los Angeles,California,Pine Canyon,Andrena (Melandrena) cerasifolii. U.C.L.A. COLL. Accessioned L.A.C.M. 1965. Andrena (Melandrena) cerasifolii Ckll.,,6 - June - VI,13,1953,,,,,,W. E. Laberge,,,,LACMENT591721_had_lbs.jpg
81431235,United States of America,Stanislaus,California,Turlock,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,4 - April - IV,9,1961,,,,Spiraea prunifolia,,W. E. LaBerge,,,,LACMENT591722_had_lbs.jpg
81431237,United States of America,Tuolumne,California,"Camp Bob MacBride, Pinecrest",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. Snelling,8 - August - VIII,1,1952,,,,,,W. E. LaBerge,,,"5,400 ft.",LACMENT591723_had_lbs.jpg
81431238,United States of America,Fresno,California,L. Panoche Cr. Can.,Andrena (Melandrena) cerasifolii; Andrena cerasifolii Ckll. det. Snelling '57; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,3 - March - III,13,1957,,,,,,"Snelling, W. E. LaBerge",'57,♀,,LACMENT591724_had_lbs.jpg
81431240,United States of America,Fresno,California,L. Panoche Cr. Can.,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,3 - March - III,13,1957,,,,,,W. E. LaBerge,,,,LACMENT591725_had_lbs.jpg
81431242,United States of America,Tulare,California,Kaweah,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,FT Scott,6 - June - VI,6,1940,6 - June - VI,6,1940,,,W. E. LaBerge,,,,LACMENT591726_had_lbs.jpg
81431244,United States of America,Tulare,California,Kaweah,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,FTScott,6 - June - VI,2,1938,,,,,,W. E. LaBerge,,,,LACMENT591727_had_lbs.jpg
