subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81432728,United States of America,Contra Costa,California,"Russelmann Park, Mt. Diablo",Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Vier,Roy Snelling,5 - May - V,3,1953,,,,Baeria,,,V / 3 / 1953,,,LACMENT592562_had_lbs.jpg
81432729,United States of America,Merced,California,2 mi. S. Hilmar,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R.R. Snelling,4 - April - IV,29,1960,,,,Phacelia distans,,D. W. Ribble,1967,♀,,LACMENT592563_had_lbs.jpg
81432730,United States of America,Mariposa,California,Mt. Bullion 1 mi. W,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,"R. R. Snelling, M. D. Snelling",5 - May - V,2,1960,,,,,,D. W. Ribble,1967,♀,,LACMENT592564_had_lbs.jpg
81432732,United States of America,Mariposa,California,"Mt. Bullion, 1(?) mi. W.",Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,"R. R. Snelling, M. D. Snelling",5 - May - V,2,1960,,,,,,D. W. Ribble,1967,♀,,LACMENT592565_had_lbs.jpg
81432733,United States of America,Mariposa,California,1 mi. W Mt . Bullion,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R. R. Snelling & M. D. Snelling,5 - May - V,2,1960,,,,Ranunculus,,D. W. Ribble,1967,♀,,LACMENT592566_had_lbs.jpg
81432734,United States of America,Mariposa,California,Exchequer Dam,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R.R.Snelling,3 - March - III,29,1961,,,,,,D.W.Ribble,1967,♀,,LACMENT592567_had_lbs.jpg
81432735,United States of America,Mariposa,California,Mariposa,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R.R. Snelling,5 - May - V,14,1960,,,,unknown,,D.W. Ribble,1967,♀,,LACMENT592568_had_lbs.jpg
81432736,United States of America,Tuolumne,California,Columbia,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,RR & MD Snelling,4 - April - IV,2,1960,,,1967,On Ceanothus,Malaise trap (MT),D.W.Ribble,1967,♀,rible 1967,LACMENT592569_had_lbs.jpg
81432737,United States of America,Tuolumne,California,Columbia,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,RR & MD Snelling,4 - April - IV,2,1980,4 - April - IV,2,1980,On Ceanothus,,D. W. Ribble,1967,♀,,LACMENT592570_had_lbs.jpg
81432739,United States of America,Tulare,California,Visalia,Andrena (Micrandrena) chlorogaster; Andrena sp. near subalia Ckll. Timb. det.; Andrena (Micrandrena) chlorogaster Vier.,FTScott,3 - March - III,29,1939,3 - March - III,29,1939,,,D.W.Ribble,1967,♀,,LACMENT592571_had_lbs.jpg
81432740,United States of America,Tulare,California,Visalia,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,F T Scott,3 - March - III,29,1939,,,,,,D.W.Ribble,1967,♀,,LACMENT592572_had_lbs.jpg
81432741,United States of America,Tuolumne,California,Columbia,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R. Snelling,4 - April - IV,26,1954,4 - April - IV,26,1954,,,D. W. Ribble,1967,♀,,LACMENT592573_had_lbs.jpg
81432742,United States of America,Stanislaus,California,10 Mi. W. La Grange,Andrena (Micrandrena) chlorogaster; 111; Andrena (Micrandrena) chlorogaster Vier.,S. M. Fullerton,3 - March - III,26,1960,,,,,,D. W. Ribble,1967,♀,,LACMENT592574_had_lbs.jpg
81432743,United States of America,Stanislaus,California,Del Puerto Cyn.,Andrena (Micrandrena) chlorogaster; 91; Andrena (Micrandrena) chlorogaster Vier.,S. M. Fullerton,4 - April - IV,5,1960,4 - April - IV,5,1960,,,D. W. Ribble,1967,♀,,LACMENT592575_had_lbs.jpg
81432744,United States of America,Stanislaus,California,Del Puerto Cyn.,92 .,S. M. Fullerton,4 - April - IV,5,1960,,,,,,D. W. Ribble,1967,♀,,LACMENT592576_had_lbs.jpg
81432745,United States of America,Los Angeles,California,Hanna Flats San Gab. Mts.,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,,6 - June - VI,2,1957,,,,,,W. E. LaBerge,,,,LACMENT592577_had_lbs.jpg
81432747,United States of America,Placer,California,Forest Hill,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,"Menke, Stange",5 - May - V,5,1958,,,,,,W. E. LaBerge,,,,LACMENT592578_had_lbs.jpg
81432750,United States of America,Santa Barbara,California,Santa Cruz Island,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,Peggy McCain,4 - April - IV,19,1975,4 - April - IV,22,1975,,,W. E. LaBerge,,,,LACMENT592579_had_lbs.jpg
81432751,United States of America,San Diego,California,2 MI NW OF JACUMBA,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C. D. NAGANO,3 - March - III,9,1979,,,,,,W. E. LaBerge,,,,LACMENT592580_had_lbs.jpg
81432753,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C.D. Nagano,3 - March - III,9,1979,,,,Not shown,,W. E. LaBerge,,,,LACMENT592581_had_lbs.jpg
81432754,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592582_had_lbs.jpg
81432755,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592583_had_lbs.jpg
81432757,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592584_had_lbs.jpg
81432758,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R.R.Snelling,4 - April - IV,1,1960,,,,,,,1960,,,LACMENT592585_had_lbs.jpg
81432759,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592586_had_lbs.jpg
81432761,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592587_had_lbs.jpg
81432763,United States of America,Stanislaus,California,Knight's Ferry,,R.R.Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592588_had_lbs.jpg
81432764,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,4 - April - IV,1,1960,,,,,,,LACMENT592589_had_lbs.jpg
81432765,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,4 - April - IV,,1960,,,,,,,LACMENT592590_had_lbs.jpg
81432766,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592591_had_lbs.jpg
81432767,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592592_had_lbs.jpg
81432768,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592593_had_lbs.jpg
81432770,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,Andrea (Micrandrena) chlorogaster,,,April 1st 1960,,,LACMENT592594_had_lbs.jpg
81432772,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R.R.Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592595_had_lbs.jpg
81432774,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R.R.Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592596_had_lbs.jpg
81432776,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R.R.Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592597_had_lbs.jpg
81432777,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R.R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592598_had_lbs.jpg
81432778,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R.R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592599_had_lbs.jpg
81432779,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,1 / April / 1960,,,LACMENT592600_had_lbs.jpg
81432780,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,"April 1, 1960",,,LACMENT592601_had_lbs.jpg
81432781,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R.R. Snelling,4 - April - IV,1,1960,,,,,,,1960,,,LACMENT592602_had_lbs.jpg
81432782,United States of America,Stanislaus,California,Knight's Ferry,Andrena (Micrandrena) chlorogaster,R. R. Snelling,4 - April - IV,1,1960,,,,,,,,,,LACMENT592603_had_lbs.jpg
81432784,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C.D. Nagano,3 - March - III,7,1979,,,,,,W. E. LaBerge,,,,LACMENT592604_had_lbs.jpg
81432786,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C.D. Nagano,3 - March - III,7,1979,,,,,,W. E. LaBerge,,,,LACMENT592605_had_lbs.jpg
81432787,United States of America,Merced,California,4 mi. W Snelling,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R.R. Snelling,4 - April - IV,3,1960,4 - April - IV,3,1960,Salix,,D.W.Ribble,1967,♂,,LACMENT592606_had_lbs.jpg
81432788,United States of America,Los Angeles,California,1 mi. South Little Rock Dam San Gabriel Mts.,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,C. L. Hogue,3 - March - III,9,1963,,,,,,D.W. Ribble,1967,♂,,LACMENT592608_had_lbs.jpg
81432789,United States of America,Stanislaus,California,10 mi. SW Turlock,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R. R. Snelling,4 - April - IV,5,1953,,,,,,D. W. Ribble,1967,♂,,LACMENT592609_had_lbs.jpg
81432790,United States of America,Merced,California,4 mi. W Snelling,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,R.R.Snelling,3 - March - III,29,1961,3 - March - III,29,1961,on Salix,,D.W.Ribble,1967,♂,4 Mi,LACMENT592610_had_lbs.jpg
81432791,United States of America,Merced,California,6 mi. E. Newman,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,Snelling,3 - March - III,6,1953,,,,On flowers of Alyssum,,D.W.Ribble,1967,♂,,LACMENT592611_had_lbs.jpg
81432793,United States of America,Stanislaus,California,"13 Mi. N. La Grange, Calif.",110,S.M.Fullerton,3 - March - III,26,1960,,,,,,D.W.Ribble,1967,♂,,LACMENT592612_had_lbs.jpg
81432794,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C.D. Nagano,3 - March - III,9,1979,3 - March - III,9,1979,,,W. E. LaBerge,9 March 1979,,,LACMENT592613_had_lbs.jpg
81432796,United States of America,San Diego,California,2 mi. NW. of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C. D. Nagano,3 - March - III,9,1979,,,,,,W. E. LaBerge,,,,LACMENT592614_had_lbs.jpg
81432798,United States of America,San Diego,California,2 MI NW OF JACUMBA,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C.D. Nagano,3 - March - III,7,1979,,,,,,W. E. LaBerge,,,,LACMENT592615_had_lbs.jpg
81432799,United States of America,San Diego,California,2 mi. NW. of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C. D. Nagano,3 - March - III,7,1979,,,,,,W. E. LaBerge,,,,LACMENT592616_had_lbs.jpg
81432800,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena (Micrandrena) chlorogaster Vier.,C.D. Nagano,3 - March - III,9,1979,3 - March - III,9,1979,,,W. E. LaBerge,3/9/1979,,,LACMENT592617_had_lbs.jpg
81432801,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C.D. Nagano,3 - March - III,9,1979,,,,,,W. E. LaBerge,,,,LACMENT592618_had_lbs.jpg
81432802,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C.D. Nagano,3 - March - III,9,1979,,,,,,W.E. LaBerge,,,,LACMENT592619_had_lbs.jpg
81432803,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C. D. Nagano,3 - March - III,9,1979,,,,,,W. E. LaBerge,,,,LACMENT592620_had_lbs.jpg
81432804,United States of America,San Diego,California,2 mi NW of Jacumba,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,C. D. Nagano,3 - March - III,9,1979,,,,,,W. E. LaBerge,9 / March / 1979,,,LACMENT592621_had_lbs.jpg
81432805,United States of America,Yolo,California,Putah Cyn,Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Viereck,D P Levin,4 - April - IV,2,1970,,,,,,W. E. LaBerge,,,,LACMENT592622_had_lbs.jpg
81432806,United States of America,Inyo,California,"Jackass Spring, Panamint Range",Andrena (Micrandrena) chlorogaster; Andrena chlorogaster Vier.,R.R. Snelling,5 - May - V,4,1987,5 - May - V,6,1987,On flowers of Prunus fasciculata,,R.R. Snelling,,♂,6200',LACMENT592623_had_lbs.jpg
81432807,United States of America,Inyo,California,"Jackass Spring, Panamint Range",Andrena (Micrandrena) chlorogaster,R. R. Snelling,5 - May - V,4,1987,5 - May - V,6,1987,On flowers of Prunus fasciculata,,,,,6200',LACMENT592624_had_lbs.jpg
81432808,United States of America,Inyo,California,"Jackass Spring, Panamint Range",Andrena (Micrandrena) chlorogaster,R. R. Snelling,5 - May - V,4,1987,5 - May - V,6,1987,On flowers of Prunus fasciculata,,,,,6200',LACMENT592625_had_lbs.jpg
81432809,United States of America,Inyo,California,"Jackass Spring, Panamint Range",Andrena (Micrandrena) chlorogaster,R. R. Snelling,5 - May - V,4,1987,5 - May - V,6,1987,On flowers of Prunus fasciculata,,,,,6200',LACMENT592626_had_lbs.jpg
81432811,United States of America,Inyo,California,"Jackass Spring, Panamint Range",Andrena (Micrandrena) chlorogaster,R. R. Snelling,5 - May - V,4,1987,5 - May - V,6,1987,On flowers of Prunus fasciculata,,,,,6200',LACMENT592627_had_lbs.jpg
81432812,United States of America,Inyo,California,"Jackass Spring, Panamint Range",Andrena (Micrandrena) chlorogaster,R. R. Snelling,5 - May - V,4,1987,5 - May - V,6,1987,On flowers of Prunus fasciculata,,,,,6200',LACMENT592628_had_lbs.jpg
81432813,United States of America,Lincoln,Maine,Waldoboro,Andrena (Micrandrena) illinoiensis; 2455; 3LA,J. H. Lovell,5 - May - V,13,1904,,,,Salix bebbiana,,,,,,LACMENT592629_had_lbs.jpg
81432814,Unknown Country,,,,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Lovell; second image,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592629(2)_had_lbs.jpg
81432815,United States of America,Lincoln,Maine,Waldoboro,,J.H.Lovell,5 - May - V,13,1904,,,,Salix bebbiana,,J.H.Lovell,,,461,LACMENT592630_had_lbs.jpg
81432816,United States of America,,Maine,Waldoboro,,J.H.Lovell,5 - May - V,7,1905,5 - May - V,7,1905,Salix,,,,,,LACMENT592631_had_lbs.jpg
81432817,United States of America,Bernalillo,New Mexico,Albuquerque,Andrena (Micrandrena) illinoiensis; Andrena(Micrandrena) illinoiensis Robt.,W. O. Griesel,4 - April - IV,29,1945,,,,,,D. W. Ribble,1964,♀,5000',LACMENT592632_had_lbs.jpg
81432818,United States of America,Ransom,North Dakota,1 mile S.E. McLeod,Andrena (Micrandrena) illinoiensis; Andrena(Micrandrena) illinoiensis Robt.,J. R. Powers,6 - June - VI,2,1961,,,,,,D. W. Ribble,1964,♀,,LACMENT592633_had_lbs.jpg
81432819,United States of America,Clark,Idaho,6 mi. S. Spencer,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Robertson,R. R. Snelling,6 - June - VI,16,1967,,,,,,W. E. LaBerge,1967,,,LACMENT592634_had_lbs.jpg
81432820,United States of America,,Colorado,Platte Canon,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Robertson,Robertson,Not shown,Not shown,Not shown,,,,,,W. E. LaBerge,,,,LACMENT592635_had_lbs.jpg
81432821,United States of America,,Colorado,Platz Ganon,Andrena (Micrandrena) illinoiensis. Andrena illinoiensis Robertson,,Not shown,Not shown,Not shown,,,,,,W. E. LaBerge,,,,LACMENT592636_had_lbs.jpg
81432822,United States of America,,Colorado,Platte Canon,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Robertson,,Not shown,Not shown,Not shown,,,,,,W. E. LaBerge,,,,LACMENT592637_had_lbs.jpg
81432823,United States of America,,Colorado,Platte Gmon,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Robertson,,Not shown,Not shown,Not shown,,,,,,W. E. LaBerge,,,,LACMENT592638_had_lbs.jpg
81432825,United States of America,,Colorado,Platte Cañon,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Robertson,,Not shown,Not shown,Not shown,,,,,,W. E. LaBerge,,,,LACMENT592639_had_lbs.jpg
81432826,United States of America,,Colorado,Platte Cannon,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Robertson,,Not shown,Not shown,Not shown,,,,,,W. E. LaBerge,,,,LACMENT592640_had_lbs.jpg
81432827,United States of America,,Colorado,Platte Cannon,Andrena (Micrandrena) illinoiensis; Andrena illinoiensis Robertson,,Not shown,Not shown,Not shown,,,,illinoiensis,,W. E. LaBerge,,,,LACMENT592641_had_lbs.jpg
81432828,United States of America,Denver,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592642_had_lbs.jpg
81432829,United States of America,Clear Creek,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,Andrena illinoiensis,,,,,,LACMENT592643_had_lbs.jpg
81432830,United States of America,,Colorado,Platte Canon,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592644_had_lbs.jpg
81432831,United States of America,,Colorado,"Platt co, Gomor",,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592645_had_lbs.jpg
81432832,United States of America,,Colorado,Platte Canon,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592646_had_lbs.jpg
81432833,United States of America,Park,Colorado,Platte Canon,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,Andrena (Micrandrena) illinoiensis,,,,,,LACMENT592647_had_lbs.jpg
81432834,United States of America,,Colorado,Platte Ganon,,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592648_had_lbs.jpg
81432835,United States of America,El Paso,Colorado,Bear Creek Canon,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592649_had_lbs.jpg
81432836,United States of America,Clear Creek,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis; 5847; Andrena salicinella Vier,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592652_had_lbs.jpg
81432837,United States of America,Clear Creek,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,LACM ENT,Not shown,Not shown,Not shown,,,,ANDRENA (MICRANDENA) ILLINOIENSIS,,,,,,LACMENT592653_had_lbs.jpg
81432838,United States of America,Clear Creek,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592654_had_lbs.jpg
81432839,United States of America,,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592655_had_lbs.jpg
81432840,United States of America,Clear Creek,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592656_had_lbs.jpg
81432841,United States of America,Clear Creek,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592657_had_lbs.jpg
81432842,United States of America,Clear Creek,Colorado,Clear Creek,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT592658_had_lbs.jpg
81432843,United States of America,Park,Colorado,Platte Canon,Andrena (Micrandrena) illinoiensis,,Not shown,Not shown,Not shown,,,,Andrea (Micrandrena0 illinoiensis,,,,,,LACMENT592659_had_lbs.jpg
81432844,Japan,,Kanagawa,Kamakura,Andrena (Mitsukuriella) japonica; Acc. 1043; Andrena (Mitsukuriella) japonica Smith,H. Nagase,7 - July - VII,2,1953,,,,,,H. Nagase,'53,,,LACMENT592660_had_lbs.jpg
81432846,United States of America,Los Angeles,California,4 mi SE Valyermo,Andrena (Micrandrena) lepidii; Paratype Andrena (Micrandrena) lepidii Ribble,R. R. Snelling,4 - April - IV,13,1960,,,,Cryptantha,,Ribble,IV / 13 / 1960,♀,,LACMENT592661_had_lbs.jpg
81432848,United States of America,Kern,California,"Last ChanceCyn., El Paso Mts.",Andrena (Micrandrena) lepidii; Andrena (Micrandrena) lepidii Ribble,R. R. Snelling,4 - April - IV,12,1964,,,,,,,,♂,,LACMENT592662_had_lbs.jpg
81432849,Mexico,Tijuana,Baja California,Nr. La Zapopita Valle de la Trinidad,Andrena (Micrandrena) lepidii; Andrena (Micrandrena) lepidii Ribble,F. S. Truxal,4 - April - IV,9,1961,4 - April - IV,14,1961,,,Ribble,,♂,,LACMENT592663_had_lbs.jpg
81432851,United States of America,Kern,California,10 mi. S.E. Mojave,Andrena (Micrandrena) lepidii; Andrena (Micrandrena) lepidii Rib.,R. J. Hamton,3 - March - III,23,1967,,,,,,W. E. LaBerge,,,,LACMENT592664_had_lbs.jpg
81432852,United States of America,Alpine,California,Ebbetts Pass,Andrena (Micrandrena) melanochroa; Homotype Andrena pacifica Ashmead det. W.E. LaB.; Andrena (Micrandrena) melanochroa Ckll.,G.I. Stage,6 - June - VI,23,1960,,,,Andrena melanochroa,,D.W.Ribble,1967,♀,8730',LACMENT592665_had_lbs.jpg
81432853,United States of America,Contra Costa,California,"Russelmann Park, Mt. Diablo",Andrena (Micrandrena) melanochroa; Andrena melanochroa Cockerell,Roy Snelling,5 - May - V,3,1953,,,,Baeria,,W. E. LaBerge,,,,LACMENT592666_had_lbs.jpg
81432854,United States of America,Nelson,Virginia,Blue Ridge Mtns. Wintergreen Resort,Andrena (Micrandrena) melanochroa; Andrena melanochroa Cockerell,S. E. Miller,6 - June - VI,17,1978,6 - June - VI,18,1978,,,W. E. LaBerge,,,3400 ft,LACMENT592667_had_lbs.jpg
81432856,United States of America,Sacramento,California,Fair Oaks,Andrena (Micrandrena) microchlora; Andrena microchlora Vier. Timb. det.; Andrena (Micrandrena) microchlora Ckll.,R. R. Snelling,4 - April - IV,18,1954,,,,On flowers of Baeria,,D. W. Ribble,1967,♀,,LACMENT592668_had_lbs.jpg
81432857,United States of America,El Dorado,California,Luther Pass,Andrena (Micrandrena) microchlora; Andrena (Micrandrena) microchlora Ckll.,Roy Snelling,5 - May - V,6,1962,,,,,,D. W. Ribble,1967,♂,7740',LACMENT592669_had_lbs.jpg
81432858,Czech Republic,,Central Bohemian Region,,Andrena (Micrandrena) minutula parvula; Andr. minutula K v. parvula K,Günther,4 - April - IV,4,1947,,,,,Malaise trap (MT),Gunther,4/4/47,☿,,LACMENT592670_had_lbs.jpg
81432860,Czech Republic,,Bohemia,Chlum u Třeb. Bohemia,,J. Niedl,Not shown,Not shown,Not shown,,,,Andrena (Micrandrena) minutuloides,,Kaourek,not noted,♀,,LACMENT592671_had_lbs.jpg
81432861,Unknown Country,,,,Andrena (Micrandrena) minutuloides; Andrena (Micrandrena) minutuloides Perk; Back,,Not shown,Not shown,Not shown,,,,,,Kocourek,,♀,,LACMENT592671(2)_had_lbs.jpg
81432863,Czech Republic,,Bohemia,Chlum u Třeb. Bohemia,Andrena (Micrandrena) minutuloides; Andrena minutuloides Perk.,J. Niedl,Not shown,Not shown,Not shown,,,,,,Kocourek,,♂,,LACMENT592672_had_lbs.jpg
81432864,Unknown Country,,,,Andrena (Micrandrena) minutuloides; Andrena minutuloides Perk.; back,,3 - March - III,8,1957,,,,,,Kocourek,,♂,,LACMENT592672(2)_had_lbs.jpg
81432865,United States of America,Calvert,Maryland,Port Republic,Andrena (Micrandrena) neonana; Andrena (Micrandrena) neonana Viereck,Snelling,5 - May - V,11,1968,,,,,,D. W. Ribble,1967,♂,,LACMENT592673_had_lbs.jpg
81432866,United States of America,Baker,Florida,Glen St. Mary,Andrena (Micrandrena) neonana; Andrena neonana Viereck,"H.V.Weems, Jr.",4 - April - IV,3,1964,,,,At Prunus serotina,,G. E. Bohart,1968,,,LACMENT592674_had_lbs.jpg
81432867,United States of America,Richmond,Georgia,Augusta,Andrena (Micrandrena) nigrae; Andrena (Micrandrena) nigrae Robertson,R. R. Snelling,4 - April - IV,5,1959,,,,,,D. W. Ribble,1964,♂,,LACMENT592675_had_lbs.jpg
81432868,United States of America,Richmond,Georgia,Augusta,Andrena (Micrandrena) nigrae; Andrena(Micrandrena) nigrae Robertson,R. R. Snelling,4 - April - IV,6,1959,,,,on Salix,,D.W.Ribble,1964,♂,,LACMENT592676_had_lbs.jpg
81432869,United States of America,Richmond,Georgia,Augusta,Andrena (Micrandrena) nigrae; Andrena (Micrandrena) nigrae Robertson,R R Snelling,4 - April - IV,9,1959,,,,,,D. W. Ribble,1967,♀,,LACMENT592677_had_lbs.jpg
81432870,United States of America,Richmond,Georgia,Augusta,Andrena (Micrandrena) nigrae; Andrena nigrae Robertson,R R Snelling,4 - April - IV,1,1959,,,,,,W. E. LaBerge,1959,,,LACMENT592678_had_lbs.jpg
81432871,United States of America,Richmond,Georgia,Augusta,Andrena (Micrandrena) nigrae; Andrena (Micrandrena) nigrae Robertson,R. R. Snelling,4 - April - IV,6,1959,,,,,,W. E. LaBerge,,,,LACMENT592679_had_lbs.jpg
81432872,United States of America,Richmond,Georgia,Augusta,Andrena ( Micrandrena ) nigrae Robertson sex female,R.R.Snelling,4 - April - IV,10,1959,,,,,,D.W.Ribble,1967,♀,,LACMENT592680_had_lbs.jpg
